CustomerID,CustFirstName,CustLastName,CustStreet,CustCity,CustState,CustZip,CustPhone,CustDOB
,Victor,Aysh,521 Jay Hill,Visalia,CA,93291,(559) 1565561,6/24/1985
,Marthena,Christol,4620 Heath Alley,Washington,DC,20062,(202) 2093388,6/14/1951
,Lucy,Lilly,67 Buena Vista Point,Hartford,CT,6152,(860) 9981541,6/25/1943
,Sonnnie,Bonellie,0479 Eastwood Way,Jacksonville,FL,32244,(904) 7355344,6/5/2003
,Idalia,Tatton,6322 Canary Center,Nashville,TN,37220,(615) 8828859,8/5/1974
,Brock,Chastel,01 Grayhawk Place,Sacramento,CA,95828,(916) 1281832,10/11/1983
,Fredericka,Burnie,66085 Anthes Point,Lake Worth,FL,33462,(561) 4553933,7/15/1955
,Buddy,Stanyan,204 Shelley Court,Omaha,NE,68110,(402) 8508760,6/11/1935
,Gretal,Thrustle,5 Shoshone Lane,Toledo,OH,43666,(419) 5912235,4/30/1974
,Anet,Girvin,6 Transport Crossing,Miami,FL,33185,(305) 9146894,7/7/1973
,Ilysa,Tween,885 Stuart Way,Washington,DC,20078,(202) 2266542,10/16/1978
,Jefferey,Hendricks,8 Pawling Lane,Tulsa,OK,74116,(918) 7690872,7/8/1936
,Otto,Rymour,476 Artisan Street,Sioux Falls,SD,57105,(605) 9680283,2/5/1947
,Ula,Gobel,5 Eastwood Hill,Lafayette,LA,70593,(337) 5475968,11/5/1973
,Neille,Ketley,34 Goodland Center,Wilmington,NC,28410,(910) 3121162,5/18/1985
,Artair,Waycot,92293 Fulton Junction,Saint Petersburg,FL,33705,(813) 5866718,6/14/1977
,Moritz,Cubbit,758 Mesta Drive,Newark,DE,19725,(302) 2301940,12/8/1997
,Alex,Kensley,8606 Scott Plaza,Tulsa,OK,74170,(918) 3787264,6/17/1962
,Dyan,Drewett,1318 Ronald Regan Crossing,Washington,DC,20566,(202) 9986897,4/19/1954
,Carmon,de Keyser,37 Di Loreto Lane,Cincinnati,OH,45203,(513) 9891240,7/5/1993
,Mahmoud,Kindley,103 Londonderry Way,Cincinnati,OH,45213,(513) 9734334,4/8/1974
,Mikael,Comber,40 Talisman Way,Fort Wayne,IN,46825,(260) 1399765,7/5/1990
,Bertrando,Ashton,4 Roth Way,Indianapolis,IN,46216,(317) 5118102,3/1/1995
,Hanson,Vischi,9173 3rd Terrace,Dayton,OH,45454,(937) 5738632,11/13/1997
,Venita,Layson,707 Tennyson Center,Abilene,TX,79699,(325) 9418975,11/23/1994
,Thomasa,Orto,022 Lindbergh Junction,Herndon,VA,22070,(757) 6347573,1/4/1965
,Karlie,Hewkin,3826 Bluestem Avenue,Davenport,IA,52804,(563) 7484347,1/7/1987
,Barbe,Cullivan,5165 Veith Lane,Hartford,CT,6160,(860) 5444308,12/9/1991
,Walden,Donovin,47 Elka Alley,Raleigh,NC,27615,(919) 2201560,4/24/1947
,Renell,Jozaitis,76604 Thackeray Crossing,Cincinnati,OH,45213,(513) 5491289,3/28/1966
,Silvan,Mainz,85715 Surrey Circle,Alhambra,CA,91841,(626) 3354880,1/13/1990
,Lonee,Hancill,661 Carioca Street,Texarkana,TX,75507,(903) 2573519,7/17/1948
,Stan,Evequot,89062 Sauthoff Pass,Saint Louis,MO,63158,(314) 6529527,4/8/1935
,Jocko,Donlon,8 Rowland Parkway,San Jose,CA,95118,(408) 7523941,11/18/1952
,Verile,Harvett,5 2nd Crossing,San Francisco,CA,94169,(415) 3899964,12/6/1999
,Winonah,Briskey,8510 Banding Avenue,Newton,MA,2162,(508) 5633335,4/16/1974
,Mischa,Garfath,3132 Forest Dale Junction,Saint Petersburg,FL,33742,(727) 7617799,9/15/2001
,Maurice,Greswell,2986 Aberg Road,Shawnee Mission,KS,66215,(913) 1933691,7/25/1941
,Duky,Dodd,81165 Porter Court,Santa Ana,CA,92725,(714) 3630449,5/11/1939
,Mechelle,Grinaugh,33 Elgar Pass,Fort Pierce,FL,34949,(772) 4380084,5/22/1980
,Fina,Minmagh,8035 Troy Trail,Sarasota,FL,34233,(941) 1162195,11/18/1983
,Pietra,Docker,0 Buhler Crossing,Tampa,FL,33673,(813) 2469621,8/1/1973
,Saxon,Ovenden,2272 Carberry Court,Kingsport,TN,37665,(423) 6887240,7/22/1960
,Brunhilde,Supple,8676 Maywood Junction,Lexington,KY,40586,(859) 3376187,3/7/1949
,Rora,Tieman,296 Novick Center,El Paso,TX,79968,(915) 8208274,5/22/1983
,Nancie,Orta,9591 Summit Street,Hattiesburg,MS,39404,(601) 1199250,11/6/1950
,Melodie,McSkeagan,747 High Crossing Center,Chicago,IL,60663,(312) 2861660,5/16/1969
,Ianthe,Paszek,2280 Old Shore Center,Nashville,TN,37250,(615) 9247547,3/14/1967
,Anna-diane,Loblie,27941 Cordelia Drive,Denver,CO,80270,(303) 2355648,9/24/2001
,Dicky,Blaza,3 Farwell Point,College Station,TX,77844,(979) 1672229,4/14/2002
,Miller,Brach,40720 Straubel Lane,Migrate,KY,41905,(502) 1886829,3/9/1949
,Gertruda,Cawdron,3 Bonner Park,Houston,TX,77035,(281) 7846465,12/9/1976
,Muriel,Vause,09 5th Place,Charlotte,NC,28242,(704) 6796278,3/20/1943
,Brodie,Skelington,3 Westend Trail,Colorado Springs,CO,80945,(719) 3671878,9/14/1943
,Kerrill,Skrine,67 Mariners Cove Park,Denver,CO,80299,(720) 9722401,7/2/1944
,Diannne,Kingswold,44527 Oxford Pass,Irving,TX,75062,(972) 5344289,2/25/1946
,Pierette,Waslin,58 Blaine Junction,Atlanta,GA,30375,(404) 6375727,10/22/1946
,Perla,Cobbledick,78305 Pearson Street,Saint Louis,MO,63180,(314) 5601076,12/23/1973
,Rodolphe,Burge,3 Fairview Avenue,Charlotte,NC,28263,(704) 9812976,6/28/1971
,Riley,Melia,499 Arkansas Place,Maple Plain,MN,55572,(763) 3464896,2/2/2002
,Giacopo,Di Biagio,41424 Blue Bill Park Park,Saint Louis,MO,63150,(314) 6759978,7/5/1974
,Rickert,Beveredge,4 Sutherland Way,Charlotte,NC,28210,(704) 3601987,1/28/1954
,Cynde,Romanin,26846 Dunning Crossing,Bonita Springs,FL,34135,(941) 7196713,5/5/1935
,Germain,Royce,1131 Morningstar Place,North Hollywood,CA,91616,(213) 5055626,11/4/1977
,Staci,Sparshett,63 Bellgrove Hill,Seattle,WA,98185,(206) 7936686,3/19/1953
,Juliana,Joist,8914 Northport Trail,Los Angeles,CA,90005,(323) 8224493,10/18/1980
,Emmey,Linnemann,4 Summer Ridge Parkway,Eugene,OR,97405,(541) 3858934,10/18/1954
,Barbie,Walsh,246 Nelson Crossing,Salt Lake City,UT,84120,(801) 6721451,10/23/1975
,Nathaniel,Raulston,3 Memorial Avenue,Memphis,TN,38150,(901) 8954536,9/12/1963
,Katrine,Leonardi,00 Anzinger Court,Oakland,CA,94605,(510) 1968461,2/24/1995
,Caz,Janowicz,32 Walton Park,Milwaukee,WI,53277,(414) 9034641,12/11/1984
,Cortney,Gritton,85850 Mosinee Drive,Washington,DC,20525,(202) 4144353,6/2/1993
,Delora,Sancto,39 Corry Lane,Odessa,TX,79769,(432) 6375141,11/4/1977
,Brandtr,Creggan,51 Redwing Circle,Memphis,TN,38114,(901) 2712741,3/2/1954
,Vincenz,Nutting,950 Erie Hill,Texarkana,TX,75507,(903) 7328425,1/26/1991
,Del,Krauze,2 Moose Park,Charleston,WV,25321,(304) 2884924,8/4/1955
,Adeline,Greest,299 Marcy Trail,San Jose,CA,95113,(408) 4535073,7/24/1938
,Karlens,Griffiths,0 Buell Hill,Raleigh,NC,27690,(919) 8837345,2/24/1939
,Damaris,Pyner,8986 New Castle Court,San Francisco,CA,94147,(415) 3835806,8/9/1975
,Kristien,Dartnall,33146 Sunbrook Crossing,San Francisco,CA,94137,(415) 2829821,4/22/1964
,Elene,Pearson,03307 Northport Lane,Los Angeles,CA,90101,(213) 1633034,4/6/1945
,Lolita,Treweek,2 Autumn Leaf Way,Washington,DC,20397,(202) 2777697,2/2/1946
,Obie,Fost,983 Shelley Center,Los Angeles,CA,90081,(213) 8748518,8/18/1981
,Idell,Rowledge,4 Butterfield Alley,Minneapolis,MN,55480,(612) 4384490,4/27/1966
,Jessalin,Normanell,9 Drewry Trail,Washington,DC,20010,(202) 6270120,1/6/1956
,Talyah,Proudman,90 Nova Center,Salem,OR,97306,(503) 7932611,5/4/1943
,Clarisse,Espine,768 Delladonna Terrace,Chattanooga,TN,37450,(423) 2059296,8/13/1941
,Kingsly,Forrestor,94573 Magdeline Lane,Newark,NJ,7195,(862) 8014512,2/17/1981
,Farleigh,Lovell,53540 Dawn Crossing,Winston Salem,NC,27150,(336) 9260251,6/22/1981
,Dickie,O'Donnelly,9955 Kennedy Lane,Carson City,NV,89706,(775) 8367964,1/15/1955
,Myriam,Caines,16 Talmadge Drive,Kalamazoo,MI,49048,(517) 4928574,5/6/1944
,Neely,Woodwind,0185 Cascade Court,Des Moines,IA,50362,(515) 7129677,11/25/1962
,Chiarra,Rawstorne,848 Blaine Point,Indianapolis,IN,46278,(317) 4378678,4/16/1947
,Sanderson,Riseley,114 Eagan Lane,Clearwater,FL,34620,(727) 3846725,12/6/1951
